,precision,recall,f1-score,support
Afghan,0.957983193277311,0.991304347826087,0.9743589743589743,115.0
African Wild Dog,1.0,0.9831932773109243,0.9915254237288136,119.0
Airedale,0.8289473684210527,0.9921259842519685,0.9032258064516129,127.0
American Hairless,0.5714285714285714,0.24615384615384617,0.34408602150537637,65.0
American Spaniel,0.7019230769230769,0.8202247191011236,0.7564766839378239,89.0
Basenji,0.9591836734693877,0.9494949494949495,0.9543147208121827,99.0
Basset,0.9027027027027027,0.9881656804733728,0.943502824858757,169.0
Beagle,0.9821428571428571,0.8270676691729323,0.8979591836734694,133.0
Bearded Collie,0.9841269841269841,0.7848101265822784,0.8732394366197183,79.0
Bermaise,0.9791666666666666,1.0,0.9894736842105263,141.0
Bichon Frise,1.0,0.7391304347826086,0.85,115.0
Blenheim,0.9274193548387096,0.9349593495934959,0.9311740890688259,123.0
Bloodhound,0.9934640522875817,0.9681528662420382,0.9806451612903225,157.0
Bluetick,1.0,0.9487179487179487,0.9736842105263158,117.0
Border Collie,0.8181818181818182,0.9590163934426229,0.8830188679245283,122.0
Borzoi,0.9745762711864406,0.9583333333333334,0.9663865546218487,120.0
Boston Terrier,0.0,0.0,0.0,79.0
Boxer,0.9513888888888888,0.9513888888888888,0.9513888888888888,144.0
Bull Mastiff,0.9634146341463414,0.572463768115942,0.7181818181818181,138.0
Bull Terrier,0.9711538461538461,0.9099099099099099,0.9395348837209302,111.0
Bulldog,0.4954545454545455,0.8074074074074075,0.6140845070422535,135.0
Cairn,0.9873417721518988,0.6446280991735537,0.78,121.0
Chihuahua,0.9459459459459459,0.8898305084745762,0.9170305676855895,118.0
Chinese Crested,0.8951612903225806,0.8671875,0.8809523809523809,128.0
Chow,0.8391608391608392,1.0,0.9125475285171103,120.0
Clumber,0.916083916083916,1.0,0.9562043795620438,131.0
Cockapoo,0.7872340425531915,0.5323741007194245,0.6351931330472103,139.0
Cocker,0.9361702127659575,0.9428571428571428,0.9395017793594306,140.0
Collie,1.0,0.8629032258064516,0.9264069264069265,124.0
Corgi,0.8413793103448276,0.991869918699187,0.9104477611940298,123.0
Coyote,0.9871794871794872,0.927710843373494,0.9565217391304348,83.0
Dalmation,1.0,1.0,1.0,88.0
Dhole,1.0,0.9166666666666666,0.9565217391304348,132.0
Dingo,0.8819444444444444,0.9136690647482014,0.8975265017667845,139.0
Doberman,0.975609756097561,0.9230769230769231,0.9486166007905138,130.0
Elk Hound,1.0,0.9181818181818182,0.957345971563981,110.0
French Bulldog,0.6974789915966386,0.8924731182795699,0.7830188679245284,93.0
German Sheperd,0.8602150537634409,0.6722689075630253,0.7547169811320755,119.0
Golden Retriever,0.864516129032258,0.9781021897810219,0.9178082191780822,137.0
Great Dane,0.8723404255319149,0.924812030075188,0.8978102189781022,133.0
Great Perenees,0.9818181818181818,0.6506024096385542,0.782608695652174,83.0
Greyhound,0.9396551724137931,0.9159663865546218,0.9276595744680851,119.0
Groenendael,0.8402777777777778,0.937984496124031,0.8864468864468864,129.0
Irish Spaniel,0.9333333333333333,0.8682170542635659,0.8995983935742972,129.0
Irish Wolfhound,0.967741935483871,0.9782608695652174,0.972972972972973,92.0
Japanese Spaniel,0.98989898989899,0.7313432835820896,0.8412017167381974,134.0
Komondor,0.9821428571428571,0.9565217391304348,0.9691629955947136,115.0
Labradoodle,0.5961538461538461,0.7815126050420168,0.6763636363636364,119.0
Labrador,0.7860696517412935,0.9239766081871345,0.8494623655913979,171.0
Lhasa,0.7777777777777778,0.6040609137055838,0.68,197.0
Malinois,0.64375,0.8728813559322034,0.7410071942446043,118.0
Maltese,0.8076923076923077,0.8873239436619719,0.8456375838926175,142.0
Mex Hairless,0.5739644970414202,0.9797979797979798,0.7238805970149254,99.0
Newfoundland,0.9583333333333334,0.8846153846153846,0.92,78.0
Pekinese,0.8833333333333333,0.9380530973451328,0.9098712446351931,113.0
Pit Bull,0.9133333333333333,0.9785714285714285,0.9448275862068966,140.0
Pomeranian,1.0,0.9559748427672956,0.977491961414791,159.0
Poodle,0.8768115942028986,0.952755905511811,0.9132075471698113,127.0
Pug,0.9784172661870504,0.8607594936708861,0.9158249158249159,158.0
Rhodesian,0.8620689655172413,0.9259259259259259,0.8928571428571429,135.0
Rottweiler,0.9690721649484536,0.9591836734693877,0.9641025641025641,98.0
Saint Bernard,1.0,0.9358974358974359,0.9668874172185431,78.0
Schnauzer,0.912621359223301,0.746031746031746,0.8209606986899564,126.0
Scotch Terrier,0.8064516129032258,0.9375,0.8670520231213873,160.0
Shar_Pei,0.8484848484848485,0.9230769230769231,0.8842105263157894,91.0
Shiba Inu,0.9508196721311475,0.5918367346938775,0.7295597484276729,98.0
Shih-Tzu,0.6761565836298933,0.9134615384615384,0.7770961145194274,208.0
Siberian Husky,0.7878787878787878,0.9873417721518988,0.8764044943820225,79.0
Vizsla,0.9722222222222222,0.8641975308641975,0.9150326797385621,81.0
Yorkie,0.9259259259259259,0.9615384615384616,0.9433962264150944,78.0
accuracy,0.8720888993970919,0.8720888993970919,0.8720888993970919,0.8720888993970919
macro avg,0.8770375350543161,0.8647972071150951,0.8625602648762419,8459.0
weighted avg,0.8791402435010562,0.8720888993970919,0.8676554107203351,8459.0
